Name,Distance from Changi Airport in km,Hotel Stars,District,Distance from centre in metres,Number of Reviews,Guest Rating,Price in SGD,Extra Fees,Final Price,Subway Access,Love Hotel
Hotel Boss,14.7,4,Kallang,1900,"14,096",7.50,263,47,310,1,0
Crowne Plaza Changi Airport,0.5,5,Changi,16000,"5,375",9,495,88,583,1,0
Hotel Bencoolen Singapore,16,3,Bencoolen,1000,552,7.00,255,45,300,1,0
Marina Bay Sands,15.6,5,Marina Bay,1200,"30,828",8.90,1038,184,1222,1,0
Shangri-La Hotel Singapore,18.1,5,Orchard,3700,"2,436",9.10,512,91,603,0,0
Holiday Inn Singapore Atrium,18,4,Singapore River,2000,"1,021",8.20,328,58,386,0,0
Pan Pacific Singapore,15.4,5,Marina Bay,800,"6,525",9.00,512,91,603,1,0
Swissotel The Stamford,16,5,City Hall,350,"3,897",8.90,542,96,638,1,0
Hotel Chancellor@Orchard,16.8,3,Orchard,1700,"2,591",7.10,263,47,310,1,0
lyf Funan Singapore by Ascott,16.4,4,City Hall,350000,123,8.70,289,51,340,1,0
Ibis Singapore on Bencoolen,15.7,3,Bencoolen,1200,"3,844",8.20,283,50,333,1,0
Parkroyal on Pickering,17,5,Chinatown,850000,"4,145",9.00,536,95,631,1,0
Holiday Inn Express Singapore Clarke Quay,17.3,4,Clarke Quay,1100,"6,511",8.70,304,54,358,1,0
Hotel Mi,16,4,Bencoolen,1000,"4,246",8.10,384,68,452,1,0
YOTELAIR Singapore Changi Airport,0.5,4,Changi,16000,487,8.40,337,60,397,0,0
V Hotel Lavender,14.4,4,Lavender,2200,"5,717",7.30,319,57,376,1,0
Hotel 81 Orchid,12.7,2,Geylang,3600,"3,433",7.70,238,42,280,0,1
Village Hotel Changi by Far East Hospitality,15,4,Changi,18000,"6,468",8.10,296,52,348,0,0
Royal Plaza on Scotts,17.5,5,Orchard,2900,"4,225",8.60,416,74,490,1,0
Hotel 81 Dickson,15.3,2,Little India,1600,"3,096",7.00,211,37,248,1,1
The Quay Hotel,16.7,3,Boat Quay,600000,"2,667",8.20,288,51,339,1,0
V Hotel Bencoolen,16,4,Bencoolen,1000,"3,465",7.50,368,65,433,1,0
Hotel Jen Orchardgateway Singapore by Shangri-La,17.1,4,Orchard,1900,"3,603",9.00,519,92,611,1,0
Carlton Hotel Singapore,15.9,5,City Hall,600000,"5,390",8.90,392,69,461,1,0
Holiday Inn Express Singapore Serangoon,14.7,3,Lavender,2400,490,8.60,276,49,325,0,0
Strand Hotel,16,3,Bencoolen,950000,"2,273",7.90,242,43,285,1,0
Robertson Quay Hotel,17.2,3,Robertson Quay,1100,"3,267",6.90,229,41,270,1,0
Studio M Hotel,17.4,4,Robertson Quay,1400,"4,582",7.60,352,62,414,0,0
Destination Singapore Beach Road,14.4,4,Kallang,1900,"7,674",8.00,301,53,354,1,0
Swissotel Merchant Court Singapore,17,5,Clarke Quay,800000,"5,271",8.90,375,66,441,1,0
Holiday Inn Express Singapore Katong,10.3,4,Katong,6000,"3,827",8.40,208,37,245,0,0
YOTEL Singapore Orchard Road,17.8,4,Orchard,3000,"8,341",8.60,385,68,453,1,0
Hotel G Singapore,15.8,4,Bencoolen,1100,"6,751",8.20,285,50,335,1,0
Hotel 81 Gold,12.3,2,Geylang,4000,"2,847",7.50,195,35,230,0,1
Mandarin Orchard Singapore,17.4,5,Orchard,2200,"5,175",8.40,479,85,564,1,0
Hotel Jen Tanglin Singapore by Shangri-La,18.4,4,Orchard,3500,"1,745",8.50,376,67,443,0,0
Ibis Styles Singapore On Macpherson,11.8,3,Kovan,5000,"2,658",7.00,181,32,213,0,0
